size,type,weight,dist_f_ch,dist_ch_s,time_sec,bench_free,priority
big,iron,9.371296332781691,0,16,19539,0,5
big,iron,6.812547312617166,50,10,12959,4,5
small,gold,6.610593273735573,7,28,618,1,3
big,iron,5.140152377832903,44,10,2582,4,2
big,iron,19.67534526503428,1,7,13484,3,3
small,gold,14.826213532770787,52,18,13027,1,3
small,iron,9.818556788087118,15,28,7338,5,2
small,iron,13.686178956800733,57,10,12908,0,1
big,iron,14.286109248970945,28,28,7169,4,2
big,iron,7.7439343941650165,34,10,9381,3,2
big,gold,9.33302272330336,29,28,3553,2,5
small,iron,13.209166309306738,45,15,19178,0,4
small,gold,17.596917491116354,13,14,12501,2,5
big,iron,6.943829977732133,29,25,5433,2,4
small,iron,17.875036178542658,15,17,13444,1,2
big,gold,14.13479163069479,47,11,11517,5,2
small,gold,12.344890162804976,52,14,5635,1,1
big,iron,7.159105998273995,32,10,2591,1,2
small,gold,13.248557854737292,38,16,13577,3,2
small,gold,10.304474116445016,44,17,7732,1,3
small,gold,7.834507485314756,24,22,5216,2,5
small,gold,18.199601694513362,16,13,5303,4,1
big,gold,11.908589761441272,57,11,3140,0,3
big,iron,6.196340483403933,41,30,13918,3,3
big,gold,9.532080382281457,1,26,18793,0,5
small,gold,7.722573202148746,35,25,15252,0,4
big,iron,19.088677482516925,27,13,4361,0,3
big,iron,8.645929568192958,15,14,17186,0,4
small,iron,12.595950613425863,48,22,9639,2,3
small,gold,16.18283736680466,41,7,4963,5,2
small,iron,7.377663144593426,28,30,8640,5,2
small,gold,11.562313934095963,22,9,12972,0,5
big,iron,14.799221041147298,13,10,13101,10,1
small,iron,18.229305865516736,38,25,10133,3,1
small,iron,14.811547582586744,52,11,9131,3,1
small,iron,6.20125772150866,40,16,10707,8,1
small,gold,9.82342194668297,0,29,14860,2,5
big,gold,10.263983027974483,40,9,4497,1,4
small,gold,10.824101738446673,26,6,5689,3,5
big,gold,19.12427808837995,41,20,14170,4,2
big,gold,5.535550282395848,23,4,14440,7,5
big,gold,9.532604215771496,25,21,12464,1,5
small,gold,12.386838820002266,27,10,15380,5,4
big,iron,6.295940363666434,38,12,18132,1,5
small,gold,12.25306941096142,51,14,7612,9,1
small,iron,6.606933758158266,55,7,12009,1,4
small,iron,17.566733220486057,10,28,17301,0,2
small,gold,9.051265878023393,4,19,13887,5,5
small,iron,12.845167737578336,50,13,3563,3,1
big,iron,14.274767815558969,47,19,6895,1,2
big,iron,9.585884255856726,16,12,12002,0,5
small,gold,10.26972049674244,7,16,3758,0,4
small,gold,12.65774080871642,7,7,15023,1,5
small,gold,17.081520482677874,28,30,18941,5,2
small,iron,11.790378155237423,17,25,11525,1,5
small,gold,12.363438865032123,10,12,12067,1,5
big,gold,13.937974047631393,49,18,13571,5,2
big,iron,11.378171597443256,47,17,9568,9,1
big,iron,15.891175344144886,32,5,14008,1,4
small,gold,5.073614109411847,2,21,19971,3,5
big,iron,12.245296017698754,8,18,6385,3,3
small,gold,18.84524270116311,42,22,5297,3,2
big,iron,14.238556522309967,22,10,9505,1,2
big,gold,12.295996136673848,24,26,14121,4,3
small,iron,16.580372532071994,49,23,15038,5,2
big,gold,10.895011137978377,16,9,4506,4,3
small,gold,12.008684220851729,59,19,18961,5,2
small,iron,7.927395821112236,58,27,8803,0,1
big,iron,6.863062263619172,36,4,9735,7,4
big,iron,5.382840862570325,17,6,7584,5,5
big,gold,15.972633557831497,60,26,734,3,1
small,gold,12.022851712683785,12,5,15087,5,3
small,gold,19.090298743954676,52,13,9180,2,1
small,iron,7.6522407453645,26,27,9349,9,1
big,gold,8.659751445260145,52,24,10490,5,4
small,iron,14.580889198019381,18,12,6927,3,3
big,iron,5.818965284460321,43,19,2658,4,2
small,iron,12.551198810287193,44,25,5838,3,2
small,gold,6.853722761172144,22,14,10922,1,5
small,gold,7.420961813847317,1,24,16763,3,5
small,gold,12.681498100142631,18,26,8748,5,2
big,gold,13.536062139686255,42,22,4169,0,4
small,gold,8.180521173770344,48,22,5359,2,3
small,gold,9.068579238021668,25,9,9186,2,5
big,iron,9.26161381450696,54,26,18285,2,3
big,iron,7.127147419961424,47,15,8469,3,3
big,iron,19.485812782620574,6,18,5198,3,4
small,iron,15.382998962882285,20,25,9426,3,1
big,gold,6.662627471407766,31,12,18328,0,5
small,iron,10.357402728827271,1,6,13346,1,4
big,iron,7.5890419340001,16,4,14377,4,5
big,gold,8.515791999873773,46,17,17735,2,4
big,iron,19.092166641950712,52,19,519,4,1
big,iron,7.051294299430172,8,8,3153,3,5
big,gold,18.197175945250873,36,20,4565,1,4
small,gold,17.62752552278168,29,6,14333,2,5
big,gold,16.155023778571756,52,20,4175,5,1
small,iron,12.450830358813278,50,15,2858,5,1
big,gold,8.875514821560191,58,30,8509,0,3
big,gold,17.464697985392576,56,12,133,7,2
small,gold,17.511124484589736,45,25,17585,2,4
small,gold,12.879739930191871,15,26,158,0,3
big,gold,5.7142007962425225,15,29,3005,3,4
big,gold,7.894417708044971,51,17,17922,0,4
small,iron,5.84125189259026,42,17,19757,1,4
big,gold,7.697570269656961,47,24,16927,4,4
big,gold,12.626319211616154,17,17,9862,4,4
small,gold,17.81260184162244,56,21,6520,2,1
small,gold,14.798552487068381,10,16,18341,4,5
big,gold,14.013544542850415,49,29,12981,5,3
small,gold,16.219303131426425,20,30,798,2,3
small,iron,14.598672118377765,5,11,2999,1,3
big,iron,11.651408966818511,50,7,17886,3,4
big,gold,17.230451678946547,57,25,15082,0,3
big,gold,9.652767056801402,59,9,1514,5,1
big,gold,18.921723609228927,1,9,19968,2,5
small,iron,6.742858737759494,27,26,11368,8,1
big,iron,14.565198392964344,20,27,18894,8,2
big,iron,12.50774529560205,20,5,19211,2,5
big,iron,11.386424850149982,23,27,12679,10,1
big,gold,11.445745696923705,1,30,1109,4,2
big,gold,5.633112860585709,29,26,8940,5,3
small,iron,16.272707072942175,4,10,17894,0,3
small,gold,10.285206202430974,14,12,7328,2,4
big,iron,12.149545354600656,43,21,6156,5,1
small,gold,17.713911304557868,7,7,5533,4,4
big,gold,13.656627516205505,41,26,13347,4,1
small,iron,17.771548927357497,51,26,1712,0,1
big,gold,7.056190918441398,59,26,8738,1,2
small,gold,9.227263245417578,39,19,4191,3,3
big,gold,8.418986216466928,53,29,17684,3,3
big,iron,18.29501421086381,28,16,11173,5,2
small,iron,16.723357927207253,55,13,5396,1,1
small,iron,17.511512853513473,47,15,5436,2,1
big,gold,13.530253401801652,55,10,14761,1,4
big,gold,8.3112336766833,55,6,14511,5,1
big,iron,10.654975615056376,42,16,17664,0,4
small,iron,13.254513097716522,13,21,15356,2,4
small,gold,5.284678658075306,2,25,3045,1,5
small,iron,14.594634016129548,19,18,9533,0,4
big,gold,17.823042453563243,18,30,47,3,2
small,iron,9.884529881202893,56,29,18111,3,2
small,gold,15.196843131168759,2,8,15229,3,4
big,iron,12.253449333727138,33,22,16306,5,2
big,gold,5.059662379512352,60,21,14627,2,3
small,iron,9.259882893738665,17,30,1555,1,3
small,iron,12.917903807388,35,26,13416,4,2
small,iron,15.873627175619022,9,7,16050,4,4
big,iron,11.030506510611472,25,9,12735,3,3
small,iron,7.7936809327704335,60,22,16596,1,2
big,gold,5.915745812244953,40,11,11904,4,4
big,gold,15.720381501509312,32,25,6932,4,1
small,gold,10.475620106198114,59,18,8030,1,1
small,iron,14.706563058441606,52,20,9860,3,1
big,iron,8.326277578861827,16,27,5992,3,3
big,gold,16.320283057313745,38,20,1402,1,2
big,iron,10.165792485497708,39,20,9826,0,2
small,gold,5.785530202153858,27,8,5318,4,5
big,iron,12.653502495722734,11,27,10319,3,3
small,iron,15.971699709138548,52,12,19030,4,2
